epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1965,2.93302,46.9982,0.93304,0,0,0,0,5.84178,34.574,1.48458,0.00014,0.00014,0.00014
2,48.1684,5.14602,44.0681,1.37505,0,0,0,0,5.8412,28.5116,1.44442,0.00029703,0.00029703,0.00029703
3,68.6331,4.84063,18.842,1.23851,0,0,0,0,5.89624,19.7638,1.26775,0.000450892,0.000450892,0.000450892
4,89.8977,4.90881,13.8837,1.0607,0,0,0,0,5.3334,13.8554,0.99607,0.000601586,0.000601586,0.000601586
5,110.943,4.69291,10.7522,0.94365,0,0,0,0,5.94275,20.3736,1.00909,0.000749112,0.000749112,0.000749112
6,131.869,4.76453,13.6662,0.84809,0,0,0,0,5.94275,20.3736,1.00909,0.00089347,0.00089347,0.00089347
7,153.344,4.35584,6.99113,0.87105,0,0,0,0,5.42253,13.5479,0.96698,0.00103466,0.00103466,0.00103466
8,173.611,4.46284,7.20363,0.89576,0,0,0,0,5.42253,13.5479,0.96698,0.00117268,0.00117268,0.00117268
9,194.212,4.34913,8.70027,0.85058,0,0,0,0,5.42253,13.5479,0.96698,0.00130754,0.00130754,0.00130754
10,215.399,4.33067,7.06232,0.85935,0,0,0,0,4.32034,8.84517,0.93389,0.00143922,0.00143922,0.00143922
11,236.256,4.24194,6.16989,0.92062,0,0,0,0,4.32034,8.84517,0.93389,0.00156774,0.00156774,0.00156774
12,256.985,4.54207,8.20608,0.88249,0,0,0,0,4.32034,8.84517,0.93389,0.00169309,0.00169309,0.00169309
13,278.275,4.35678,6.37611,0.87015,0,0,0,0,4.32034,8.84517,0.93389,0.0017624,0.0017624,0.0017624
14,299.332,4.22743,6.18082,0.91651,0,0,0,0,4.55693,7.25812,0.93178,0.0017426,0.0017426,0.0017426
15,320.009,4.16438,7.66534,0.94374,0,0,0,0,4.55693,7.25812,0.93178,0.0017228,0.0017228,0.0017228
16,340.256,4.42253,13.6938,0.88088,0,0,0,0,4.55693,7.25812,0.93178,0.001703,0.001703,0.001703
17,361.395,4.63137,12.5063,0.91829,0,0,0,0,4.55693,7.25812,0.93178,0.0016832,0.0016832,0.0016832
18,381.972,4.56499,7.57336,0.90508,0,0,0,0,4.78088,7.56689,0.94051,0.0016634,0.0016634,0.0016634
19,401.923,4.36677,7.20459,0.92188,0,0,0,0,4.78088,7.56689,0.94051,0.0016436,0.0016436,0.0016436
20,421.368,4.3822,8.63121,0.90979,0,0,0,0,4.78088,7.56689,0.94051,0.0016238,0.0016238,0.0016238
21,441.848,4.61819,9.1084,0.9036,0,0,0,0,4.78088,7.56689,0.94051,0.001604,0.001604,0.001604
22,463.817,4.89614,7.67003,0.85249,0,0,0,0,4.40873,7.11103,0.90082,0.0015842,0.0015842,0.0015842
23,484.033,4.25365,7.68992,0.86531,0,0,0,0,4.40873,7.11103,0.90082,0.0015644,0.0015644,0.0015644
24,504.163,4.55504,9.70477,0.85537,0,0,0,0,4.40873,7.11103,0.90082,0.0015446,0.0015446,0.0015446
25,524.468,4.2382,6.75493,0.88267,0,0,0,0,4.40873,7.11103,0.90082,0.0015248,0.0015248,0.0015248
26,545.692,4.01666,9.51123,0.83906,0,0,0,0,4.48566,6.85369,0.90849,0.001505,0.001505,0.001505
27,566.955,4.27375,6.86585,0.86132,0,0,0,0,4.48566,6.85369,0.90849,0.0014852,0.0014852,0.0014852
28,587.534,4.23945,8.24256,0.82893,0,0,0,0,4.48566,6.85369,0.90849,0.0014654,0.0014654,0.0014654
29,608.596,4.23557,6.51801,0.85143,0,0,0,0,4.48566,6.85369,0.90849,0.0014456,0.0014456,0.0014456
30,629.62,4.18829,7.25349,0.91219,0.00083,0.00833,0.00092,9e-05,4.25851,6.30174,0.89253,0.0014258,0.0014258,0.0014258
31,650.903,4.39835,9.15033,0.85615,0.00083,0.00833,0.00092,9e-05,4.25851,6.30174,0.89253,0.001406,0.001406,0.001406
32,671.424,4.06868,5.74488,0.91116,0.00083,0.00833,0.00092,9e-05,4.25851,6.30174,0.89253,0.0013862,0.0013862,0.0013862
33,693.273,4.28098,5.30284,0.82058,0.00083,0.00833,0.00092,9e-05,4.25851,6.30174,0.89253,0.0013664,0.0013664,0.0013664
34,714.177,4.12924,4.70534,0.87733,0.00083,0.00833,0.00043,9e-05,4.31799,6.04403,0.90253,0.0013466,0.0013466,0.0013466
35,736.514,4.26248,5.50069,0.8435,0.00083,0.00833,0.00043,9e-05,4.31799,6.04403,0.90253,0.0013268,0.0013268,0.0013268
36,757.689,3.97688,7.10339,0.83626,0.00083,0.00833,0.00043,9e-05,4.31799,6.04403,0.90253,0.001307,0.001307,0.001307
37,778.187,3.92852,5.91648,0.87079,0.00083,0.00833,0.00043,9e-05,4.31799,6.04403,0.90253,0.0012872,0.0012872,0.0012872
38,799.008,3.80167,9.61592,0.76686,0,0,0,0,4.42654,6.7647,0.9328,0.0012674,0.0012674,0.0012674
39,820.642,3.86794,4.31492,0.85044,0,0,0,0,4.42654,6.7647,0.9328,0.0012476,0.0012476,0.0012476
40,841.336,4.0478,5.60302,0.89155,0,0,0,0,4.42654,6.7647,0.9328,0.0012278,0.0012278,0.0012278
41,862.956,4.44124,6.15806,0.83298,0,0,0,0,4.42654,6.7647,0.9328,0.001208,0.001208,0.001208
42,883.956,4.27615,5.75208,0.85267,0,0,0,0,4.36448,6.96482,0.9314,0.0011882,0.0011882,0.0011882
43,906.315,4.23633,5.16173,0.85271,0,0,0,0,4.36448,6.96482,0.9314,0.0011684,0.0011684,0.0011684
44,926.937,4.47268,8.03511,0.83628,0,0,0,0,4.36448,6.96482,0.9314,0.0011486,0.0011486,0.0011486
45,946.689,4.54053,7.76661,0.91406,0,0,0,0,4.36448,6.96482,0.9314,0.0011288,0.0011288,0.0011288
46,967.344,3.81731,4.52102,0.90798,0.00167,0.01667,0.00097,0.0001,4.33834,5.95071,0.9021,0.001109,0.001109,0.001109
47,987.538,4.14245,5.59759,0.88402,0.00167,0.01667,0.00097,0.0001,4.33834,5.95071,0.9021,0.0010892,0.0010892,0.0010892
48,1007.31,4.18099,7.67809,0.89264,0.00167,0.01667,0.00097,0.0001,4.33834,5.95071,0.9021,0.0010694,0.0010694,0.0010694
49,1027.45,4.23302,8.39056,0.86898,0.00167,0.01667,0.00097,0.0001,4.33834,5.95071,0.9021,0.0010496,0.0010496,0.0010496
50,1048.25,4.15934,6.9526,0.87411,0.00417,0.04167,0.00243,0.00038,4.27234,5.68823,0.89851,0.0010298,0.0010298,0.0010298
51,1068.25,3.68417,5.35733,0.8942,0.00417,0.04167,0.00243,0.00038,4.27234,5.68823,0.89851,0.00101,0.00101,0.00101
52,1088.72,3.71868,4.79656,0.88575,0.00417,0.04167,0.00243,0.00038,4.27234,5.68823,0.89851,0.0009902,0.0009902,0.0009902
53,1110.24,4.05974,5.10195,0.87617,0.00417,0.04167,0.00243,0.00038,4.27234,5.68823,0.89851,0.0009704,0.0009704,0.0009704
54,1130.82,3.95791,6.44627,0.85603,0.00667,0.06667,0.00397,0.00101,4.05258,5.34631,0.8848,0.0009506,0.0009506,0.0009506
55,1151.6,3.95609,5.60388,0.86112,0.00667,0.06667,0.00397,0.00101,4.05258,5.34631,0.8848,0.0009308,0.0009308,0.0009308
56,1172.37,4.25978,5.50573,0.87693,0.00667,0.06667,0.00397,0.00101,4.05258,5.34631,0.8848,0.000911,0.000911,0.000911
57,1193.67,4.14507,5.54099,0.83813,0.00667,0.06667,0.00397,0.00101,4.05258,5.34631,0.8848,0.0008912,0.0008912,0.0008912
58,1214.02,4.13247,6.29231,0.84227,0.00583,0.05833,0.00357,0.001,4.0369,5.29194,0.88234,0.0008714,0.0008714,0.0008714
59,1233.67,3.9046,5.64059,0.86696,0.00583,0.05833,0.00357,0.001,4.0369,5.29194,0.88234,0.0008516,0.0008516,0.0008516
60,1254.34,4.11791,5.91493,0.85601,0.00583,0.05833,0.00357,0.001,4.0369,5.29194,0.88234,0.0008318,0.0008318,0.0008318
61,1273.97,4.35098,8.27396,0.84748,0.00583,0.05833,0.00357,0.001,4.0369,5.29194,0.88234,0.000812,0.000812,0.000812
62,1294.56,4.40672,5.70355,0.90279,0.00583,0.05833,0.00399,0.00114,4.05678,5.35175,0.88482,0.0007922,0.0007922,0.0007922
63,1315.94,3.91645,5.32936,0.8475,0.00583,0.05833,0.00399,0.00114,4.05678,5.35175,0.88482,0.0007724,0.0007724,0.0007724
64,1337.48,4.14193,6.01911,0.81416,0.00583,0.05833,0.00399,0.00114,4.05678,5.35175,0.88482,0.0007526,0.0007526,0.0007526
65,1358.84,4.20682,5.82285,0.8255,0.00583,0.05833,0.00399,0.00114,4.05678,5.35175,0.88482,0.0007328,0.0007328,0.0007328
66,1379.88,3.89964,4.36116,0.85838,0.00667,0.06667,0.00455,0.00113,4.03816,5.3079,0.88455,0.000713,0.000713,0.000713
67,1401.62,4.1368,4.3794,0.82937,0.00667,0.06667,0.00455,0.00113,4.03816,5.3079,0.88455,0.0006932,0.0006932,0.0006932
68,1424.56,4.11606,4.84267,0.83596,0.00667,0.06667,0.00455,0.00113,4.03816,5.3079,0.88455,0.0006734,0.0006734,0.0006734
69,1446.01,4.01998,4.85842,0.83663,0.00667,0.06667,0.00455,0.00113,4.03816,5.3079,0.88455,0.0006536,0.0006536,0.0006536
70,1466.31,4.30091,6.88982,0.89558,0.01167,0.11667,0.00819,0.00183,3.97997,5.1533,0.88223,0.0006338,0.0006338,0.0006338
71,1486.23,3.75825,4.65294,0.88144,0.01167,0.11667,0.00819,0.00183,3.97997,5.1533,0.88223,0.000614,0.000614,0.000614
