epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3765,0.7098,15.4179,0.13255,0,0,0,0,2.48632,26.1452,0.37675,0.00014,0.00014,0.00014
2,20.6379,0.00933,14.7153,0.00199,0,0,0,0,3.53447,26.8392,0.49099,0.00029406,0.00029406,0.00029406
3,28.0387,0.85981,15.0172,0.19049,0,0,0,0,5.26743,27.9649,0.68048,0.000441784,0.000441784,0.000441784
4,36.0392,1.06964,14.9619,0.16258,0,0,0,0,5.58963,21.9247,0.72911,0.000583172,0.000583172,0.000583172
5,42.9845,1.19201,13.9661,0.16951,0,0,0,0,5.84491,21.8496,0.72816,0.000718224,0.000718224,0.000718224
6,49.8108,1.34271,14.6122,0.18863,0,0,0,0,5.84491,21.8496,0.72816,0.00084694,0.00084694,0.00084694
7,56.2716,3.63232,14.2392,0.52237,0,0,0,0,5.65059,27.5848,0.68869,0.00096932,0.00096932,0.00096932
8,62.7158,3.13269,12.0935,0.49499,0,0,0,0,5.65059,27.5848,0.68869,0.00108536,0.00108536,0.00108536
9,69.622,3.19784,14.4676,0.4469,0,0,0,0,5.65059,27.5848,0.68869,0.00119507,0.00119507,0.00119507
10,76.4633,2.98141,14.2315,0.4391,0,0,0,0,4.61317,27.7482,0.57643,0.00129844,0.00129844,0.00129844
11,83.3963,4.63318,12.1782,0.63984,0,0,0,0,4.61317,27.7482,0.57643,0.00139548,0.00139548,0.00139548
12,90.1007,1.59938,11.7815,0.23882,0,0,0,0,4.61317,27.7482,0.57643,0.00148618,0.00148618,0.00148618
13,96.7876,2.87157,12.8133,0.47305,0,0,0,0,4.61317,27.7482,0.57643,0.0015248,0.0015248,0.0015248
14,103.648,3.88036,11.1268,0.58198,0,0,0,0,5.02301,12.2027,0.65595,0.0014852,0.0014852,0.0014852
15,111.55,4.25436,10.6953,0.6855,0,0,0,0,5.02301,12.2027,0.65595,0.0014456,0.0014456,0.0014456
16,118.929,2.0764,11.937,0.36759,0,0,0,0,5.02301,12.2027,0.65595,0.001406,0.001406,0.001406
17,126.209,2.05758,13.0701,0.29704,0,0,0,0,5.02301,12.2027,0.65595,0.0013664,0.0013664,0.0013664
18,132.976,3.14175,11.9242,0.48221,0,0,0,0,4.78983,8.70285,0.64501,0.0013268,0.0013268,0.0013268
19,139.89,3.89164,7.67498,0.67817,0,0,0,0,4.78983,8.70285,0.64501,0.0012872,0.0012872,0.0012872
20,146.573,4.46827,9.84393,0.6719,0,0,0,0,4.78983,8.70285,0.64501,0.0012476,0.0012476,0.0012476
21,153.197,2.37939,11.8341,0.36649,0,0,0,0,4.78983,8.70285,0.64501,0.001208,0.001208,0.001208
22,160.408,3.18921,11.4216,0.44726,0,0,0,0,4.81239,8.59737,0.65626,0.0011684,0.0011684,0.0011684
23,167.676,4.1967,8.84792,0.66492,0,0,0,0,4.81239,8.59737,0.65626,0.0011288,0.0011288,0.0011288
24,174.281,2.54824,12.3958,0.36647,0,0,0,0,4.81239,8.59737,0.65626,0.0010892,0.0010892,0.0010892
25,181.007,2.89847,10.7073,0.43624,0,0,0,0,4.81239,8.59737,0.65626,0.0010496,0.0010496,0.0010496
26,188.336,2.39218,9.70722,0.34678,0,0,0,0,4.56592,7.94216,0.63781,0.00101,0.00101,0.00101
27,195.119,3.79254,9.73022,0.59578,0,0,0,0,4.56592,7.94216,0.63781,0.0009704,0.0009704,0.0009704
28,202.503,2.95572,10.6498,0.44018,0,0,0,0,4.56592,7.94216,0.63781,0.0009308,0.0009308,0.0009308
29,209.355,2.79342,8.79843,0.46554,0,0,0,0,4.56592,7.94216,0.63781,0.0008912,0.0008912,0.0008912
30,216.365,4.76426,8.8842,0.68602,0.0025,0.025,0.0015,0.00019,4.3098,7.55359,0.63881,0.0008516,0.0008516,0.0008516
31,223.737,3.96288,8.00102,0.58523,0.0025,0.025,0.0015,0.00019,4.3098,7.55359,0.63881,0.000812,0.000812,0.000812
32,230.757,4.09182,8.11501,0.62364,0.0025,0.025,0.0015,0.00019,4.3098,7.55359,0.63881,0.0007724,0.0007724,0.0007724
33,237.688,3.22018,8.64795,0.42981,0.0025,0.025,0.0015,0.00019,4.3098,7.55359,0.63881,0.0007328,0.0007328,0.0007328
34,244.641,4.46506,6.93489,0.69125,0.0025,0.025,0.00196,0.00024,4.37636,7.4477,0.6355,0.0006932,0.0006932,0.0006932
35,252.491,2.77959,7.9956,0.45512,0.0025,0.025,0.00196,0.00024,4.37636,7.4477,0.6355,0.0006536,0.0006536,0.0006536
36,259.39,3.93,7.31295,0.56236,0.0025,0.025,0.00196,0.00024,4.37636,7.4477,0.6355,0.000614,0.000614,0.000614
37,266.619,4.06632,9.59776,0.61101,0.0025,0.025,0.00196,0.00024,4.37636,7.4477,0.6355,0.0005744,0.0005744,0.0005744
38,273.98,3.34752,8.62164,0.51862,0.00167,0.01667,0.00085,0.00017,4.41466,7.48884,0.63199,0.0005348,0.0005348,0.0005348
39,281.439,4.26833,7.93007,0.60832,0.00167,0.01667,0.00085,0.00017,4.41466,7.48884,0.63199,0.0004952,0.0004952,0.0004952
40,289.644,4.15595,6.63072,0.66598,0.00167,0.01667,0.00085,0.00017,4.41466,7.48884,0.63199,0.0004556,0.0004556,0.0004556
41,296.43,3.52048,8.25044,0.58111,0.00167,0.01667,0.00085,0.00017,4.41466,7.48884,0.63199,0.000416,0.000416,0.000416
42,303.698,2.78482,9.15286,0.43021,0.00167,0.01667,0.00085,0.00017,4.37921,7.40034,0.62342,0.0003764,0.0003764,0.0003764
43,310.898,3.34778,7.77742,0.51117,0.00167,0.01667,0.00085,0.00017,4.37921,7.40034,0.62342,0.0003368,0.0003368,0.0003368
