epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.43,0.02947,15.029,0.00577,0,0,0,0,1.67429,25.6872,0.28507,0.00014,0.00014,0.00014
2,23.046,0.18758,14.7866,0.04005,0,0,0,0,1.87881,25.8558,0.31388,0.0002703,0.0002703,0.0002703
3,31.1296,0.00057,14.523,0.00015,0,0,0,0,2.45634,26.2284,0.38351,0.00036892,0.00036892,0.00036892
4,37.6317,0.45299,14.6153,0.07192,0,0,0,0,4.09901,27.1334,0.571,0.00043586,0.00043586,0.00043586
5,44.5051,0.19108,14.2442,0.03017,0,0,0,0,5.86415,25.372,0.77032,0.00047112,0.00047112,0.00047112
6,50.9631,2.89054,14.2535,0.45965,0,0,0,0,5.86415,25.372,0.77032,0.0004747,0.0004747,0.0004747
7,57.3213,1.11195,14.2867,0.18014,0,0,0,0,5.31197,17.9339,0.70707,0.0004466,0.0004466,0.0004466
8,64.2336,2.70515,11.1036,0.4274,0,0,0,0,5.31197,17.9339,0.70707,0.00038682,0.00038682,0.00038682
9,71.7583,3.41368,14.7888,0.51038,0,0,0,0,5.31197,17.9339,0.70707,0.00029536,0.00029536,0.00029536
10,78.7144,3.49088,13.5242,0.54546,0,0,0,0,4.84449,15.7607,0.67788,0.00017222,0.00017222,0.00017222
